Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,off,on,66,64,36,36,66,64,36,36,56,60,26,26,56,60,26,26
off,off,off,off,off,on,on,66,64,36,36,64,64,36,36,56,60,26,26,56,60,26,26
off,off,off,off,on,off,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,off,off,on,on,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,off,on,off,off,on,66,64,36,36,64,64,36,36,56,60,26,26,56,60,26,26
off,off,off,on,off,on,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,off,on,on,off,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,off,on,on,on,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,on,off,off,off,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,on,off,off,on,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,on,off,on,off,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,on,off,on,on,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,on,on,off,off,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,on,on,off,on,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,on,on,on,off,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,off,on,on,on,on,on,66,64,36,36,52,52,36,36,48,48,26,26,48,48,26,26
off,on,off,off,off,off,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,off,off,off,on,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,off,off,on,off,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,off,off,on,on,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,off,on,off,off,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,off,on,off,on,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,off,on,on,off,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,off,on,on,on,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,on,off,off,off,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,on,off,off,on,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,on,off,on,off,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,on,off,on,on,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,on,on,off,off,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,on,on,off,on,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,on,on,on,off,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,on,on,on,on,on,any,60,60,36,36,32,32,36,36,28,28,26,26,28,28,26,26
off,off,off,any,off,any,off,66,64,36,36,66,64,36,36,54,52,26,26,54,52,26,26
off,off,on,any,off,any,off,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
off,off,off,any,on,any,off,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,off,off,off,off,on,66,64,36,36,66,64,36,36,54,52,26,26,54,52,26,26
on,off,off,off,off,on,on,66,64,36,36,66,64,36,36,54,52,26,26,54,52,26,26
on,off,off,off,on,off,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,off,off,on,on,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,off,on,off,off,on,66,64,36,36,66,64,36,36,54,52,26,26,54,52,26,26
on,off,off,on,off,on,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,off,on,on,off,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,off,on,on,on,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,on,off,off,off,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,on,off,off,on,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,on,off,on,off,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,on,off,on,on,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,on,on,off,off,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,on,on,off,on,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,on,on,on,off,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,on,on,on,on,on,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,on,off,off,off,off,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,off,off,off,on,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,off,off,on,off,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,off,off,on,on,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,off,on,off,off,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,off,on,off,on,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,off,on,on,off,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,off,on,on,on,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,on,off,off,off,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,on,off,off,on,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,on,off,on,off,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,on,off,on,on,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,on,on,off,off,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,on,on,off,on,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,on,on,on,off,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,on,on,on,on,on,any,66,64,36,36,52,52,36,36,52,52,26,26,52,52,26,26
on,off,off,any,off,any,off,66,64,36,36,66,64,36,36,54,52,26,26,54,52,26,26
on,off,on,any,off,any,off,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
on,off,off,any,on,any,off,66,64,36,36,64,64,36,36,54,52,26,26,54,52,26,26
